,Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,Tax Parcel
5,MEEI -Longwood,Yes,Ambulatory Surgical Center,800 Huntington Ave,02115,76300,173.1,Not applicable to this property type,,Ambulatory Surgical Center,2012,969.9,12.7,13204950.4,47%,53%,0%,,,,1000894000
6,Prime Motor Group,Yes,Automobile Dealership,1525-1607 VFW Parkway,02132,150000,28.7,Not applicable to this property type,,"Automobile Dealership, Parking",2005,416.1,2.8,4301102.3,100%,0%,0%,8.957333333333333,,,2010643010
7,New England Center for Homeless Veterans,Yes,Barracks,17 Court St.,02108,130000,49.8,58,,Barracks,1908,626.7,4.8,6477934,100%,0%,0%,,,,0302886000
8,Dental Health Building,Yes,College/University,1 Kneeland Street,02111,330486,284.7,Not applicable to this property type,,"College/University, Hospital (General Medical & Surgical)",1973,6978.7,21.1,94085400.2,26%,0%,74%,24.43764637533814,,"

Water, electricity and steam come from Tufts Shared Services (TSS).  TSS provides water, electricity and steam to both Tufts Medical Center and Tufts University's Dental School and Sackler Center.  Utilities are submetered with some allocations.

330486  Total building GSF after vertical expansion   
-11174    part of 5th floor used by TMC
-10432    part of 6th floor used by TMC
308880",0305380000
9,Posner Hall,Yes,College/University,200 Harrison Avenue,02111,60284,95.9,Not applicable to this property type,,College/University,1951,392.6,6.5,5778279.6,34%,66%,0%,20.015261097471967,,,0305081000
10,Sackler Center,Yes,College/University,145 Harrison Avenue,02111,133787,149.9,Not applicable to this property type,,College/University,1986,1644.3,12.3,20055835.1,51%,0%,49%,15.246623364003977,,"Water, electricity and steam come from Tufts Shared Services (TSS).  TSS provides water, electricity and steam to both Tufts Medical Center and Tufts University's Dental School and Sackler Center.  Utilities are submetered with some allocations.",0305371000
11,1 Palace Rd-collegeUniversity,Yes,College/University,1 Palace Rd,02115,110327,124.5,Not applicable to this property type,,College/University,1995,1329.3,12,13740022.9,100%,0%,0%,,,,0401844000
12,10 Coventry Street,Yes,College/University,10 Coventry Street,02115,69739,41.1,Not applicable to this property type,,College/University,2004,226.6,3.2,2868513.7,59%,41%,0%,21.43563859533403,,,Not Available
13,140 The Fenway,Yes,College/University,140 The Fenway,02115,148145,210.3,Not applicable to this property type,,College/University,1912,2295.4,15.5,31151330.2,47%,53%,0%,16.74778089034392,,,Not Available
14,177 Longwood Ave Dorms-collegeUniversity,Yes,College/University,177 Longwood Ave Dorms,02115,95631,57.5,Not applicable to this property type,,College/University,1995,532.2,5.6,5501374.2,100%,0%,0%,29.814599868243562,,,0401844000
15,179 Longwood Ave-collegeUniversity,Yes,College/University,179 Longwood Ave,02115,347844,182.5,Not applicable to this property type,,College/University,1995,4501.3,12.9,63495490.6,41%,59%,0%,42.67113993629328,,,0401844000
16,337 Huntington Avenue,Yes,College/University,337 Huntington Avenue,02115,50023,81.2,Not applicable to this property type,,College/University,1923,269.4,5.4,4063566.4,19%,58%,0%,48.06588969074226,,,Not Available
